,FREQUENCY,SEX,AGE,BELGIUM,BULGARIA,CZECHIA,DENMARK,GERMANY,ESTONIA,IRELAND,GREECE,SPAIN,CROATIA,ITALY,CYPRUS,LATVIA,LITHUANIA,LUXEMBOURG,HUNGARY,MALTA,AUSTRIA,POLAND,PORTUGAL,ROMANIA,SLOVENIA,SLOVAKIA,FINLAND,SWEDEN,UNITED KINGDOM,ICELAND,NORWAY
125,WEEK,M,Y75+,32.3,13.8,29.6,31.9,35.3,11.9,29.3,16.8,9.1,15.3,15.7,11.3,6.0,8.6,25.4,5.8,9.5,37.5,6.5,8.9,15.4,32.7,16.9,24.7,34.8,31.8,16.3,21.4
126,WEEK,F,Y15-24,36.6,12.4,23.4,24.8,29.4,16.4,39.9,33.9,18.3,5.6,19.4,8.0,9.2,8.1,24.8,8.5,31.9,23.1,10.6,14.0,1.9,16.7,7.3,22.7,23.9,29.0,8.8,11.6
127,WEEK,F,Y25-34,18.3,12.4,23.4,12.0,23.6,14.0,32.9,12.8,19.1,6.6,19.1,5.3,5.3,3.1,15.9,7.1,26.8,13.6,11.1,15.3,4.5,14.9,6.4,20.3,20.7,31.0,7.7,15.2
128,WEEK,F,Y35-44,34.9,15.8,28.8,25.8,31.1,15.4,36.7,18.7,18.6,8.5,19.7,6.3,11.9,5.3,38.5,5.0,30.2,18.6,7.7,15.0,5.9,13.7,9.0,30.1,29.5,43.4,8.4,20.0
129,WEEK,F,Y45-54,36.8,17.7,27.6,34.9,37.1,9.8,44.9,18.5,23.9,10.1,19.9,8.8,4.7,6.0,44.7,9.2,28.2,26.8,8.8,26.4,6.1,17.3,8.2,39.2,38.7,47.2,13.0,26.4
130,WEEK,F,Y55-64,29.8,13.4,24.4,39.7,38.2,5.0,43.2,14.2,26.4,8.5,21.1,7.0,2.8,1.9,46.4,8.0,14.5,26.1,5.1,30.5,6.1,19.4,7.1,33.1,52.3,45.6,9.5,35.1
131,WEEK,F,Y65-74,38.0,6.3,18.3,47.6,39.1,1.9,38.3,14.0,9.9,2.3,13.1,8.0,2.0,1.1,43.2,7.5,0.0,24.7,2.9,16.3,2.5,22.9,3.3,21.3,39.1,39.9,19.3,34.6
132,WEEK,F,Y75+,26.2,7.6,11.9,37.6,25.2,0.0,23.9,7.8,7.3,14.5,6.4,6.8,1.3,0.0,40.4,5.1,0.0,23.4,1.4,0.7,0.4,13.9,3.5,6.0,27.2,30.6,11.4,18.8
133,WEEK,M,Y15-24,49.9,17.4,61.2,37.6,45.8,38.1,49.0,42.5,38.1,14.1,39.2,23.9,15.4,16.4,35.7,30.6,56.3,41.0,25.6,33.7,12.1,36.9,23.4,31.9,33.3,41.3,21.0,30.2
134,WEEK,M,Y25-34,48.8,27.7,51.2,42.4,48.4,34.2,38.3,43.6,36.3,23.1,46.8,28.7,26.2,30.7,51.9,23.4,35.0,36.0,31.6,38.2,32.0,37.6,26.0,44.7,34.4,49.3,27.2,30.6
135,WEEK,M,Y35-44,50.5,32.8,49.9,47.3,43.0,33.3,47.1,31.1,30.4,26.9,43.7,29.0,26.9,32.2,43.6,28.9,45.3,41.6,29.6,37.5,32.3,38.3,27.0,48.1,43.4,48.0,20.0,29.2
136,WEEK,M,Y45-54,41.8,45.5,51.6,54.3,47.3,30.5,51.7,30.0,32.7,29.3,39.5,30.5,22.4,32.1,51.0,28.0,40.6,46.0,26.7,29.1,33.0,41.4,33.6,52.9,52.6,56.1,28.9,37.8
137,WEEK,M,Y55-64,51.3,31.7,43.5,53.8,47.4,22.2,48.2,30.3,20.1,20.1,32.2,26.2,18.6,21.0,53.3,31.4,26.1,46.9,22.3,26.4,30.5,36.5,27.9,49.9,53.3,55.9,36.8,43.2
138,WEEK,M,Y65-74,43.2,32.1,38.3,48.1,44.7,14.3,48.6,34.3,20.7,23.7,27.5,19.5,14.6,13.4,54.9,22.7,20.1,42.5,15.7,24.1,22.7,38.4,18.6,39.2,46.9,50.3,28.3,43.5
139,WEEK,M,Y75+,21.6,20.9,31.1,44.2,38.1,12.3,27.9,20.5,7.9,13.2,19.6,26.1,4.3,18.4,35.4,13.9,0.0,29.9,10.5,23.2,8.3,33.2,12.4,38.3,29.0,40.9,17.5,29.3
140,WEEK,F,Y15-24,46.2,0.0,43.2,30.4,47.3,14.5,41.6,38.1,22.6,2.7,32.0,21.6,14.9,6.8,35.6,12.6,46.5,22.1,16.0,17.5,0.0,18.3,10.4,26.9,0.0,43.8,0.0,20.1
141,WEEK,F,Y25-34,33.0,18.2,30.8,29.3,36.9,20.0,32.8,26.2,29.8,9.9,24.3,13.1,21.2,8.8,40.1,13.3,37.4,27.1,15.9,16.5,3.7,22.8,11.0,25.0,33.5,42.8,17.7,24.6
142,WEEK,F,Y35-44,41.3,16.6,39.8,36.9,37.8,15.6,43.3,26.8,25.9,17.7,30.2,12.1,17.3,12.1,46.0,11.9,31.7,30.4,18.7,19.6,6.2,24.1,15.6,33.5,46.4,52.8,18.1,30.9
143,WEEK,F,Y45-54,43.0,17.9,36.5,55.1,48.5,15.3,57.8,26.5,30.2,15.3,28.0,18.9,16.7,9.3,53.1,19.7,45.4,36.4,12.8,25.4,7.2,27.2,9.6,43.5,43.1,53.8,34.8,40.0
144,WEEK,F,Y55-64,31.6,14.1,27.7,49.8,46.5,5.8,52.8,24.2,28.0,17.6,19.0,12.1,10.4,5.3,51.3,13.9,19.4,36.7,12.9,22.2,6.1,18.9,13.3,40.7,60.1,54.2,32.2,44.7
145,WEEK,F,Y65-74,37.5,6.0,23.2,47.0,37.9,3.8,46.8,25.9,25.3,4.8,26.2,0.0,9.2,5.2,36.5,11.2,0.0,32.3,8.8,25.6,2.1,19.3,4.1,36.6,51.8,51.0,19.1,48.6
146,WEEK,F,Y75+,27.9,0.0,16.3,29.4,34.1,1.8,33.5,3.7,13.4,12.3,17.3,0.0,2.4,2.2,0.0,16.6,0.0,16.8,6.1,8.0,0.0,14.4,0.0,15.9,36.3,28.6,0.0,27.8
147,WEEK,M,Y15-24,52.4,0.0,0.0,0.0,59.6,0.0,0.0,0.0,58.9,11.1,54.6,38.4,19.3,14.7,0.0,0.0,64.6,51.5,28.4,61.6,12.5,46.9,25.4,0.0,50.2,40.0,0.0,36.9
148,WEEK,M,Y25-34,57.9,34.1,56.4,49.3,58.5,43.3,45.9,50.7,46.7,25.7,53.7,34.0,30.8,16.8,63.1,32.8,54.3,56.1,35.9,46.2,20.0,48.9,22.5,46.7,44.8,62.3,31.4,42.7
149,WEEK,M,Y35-44,60.8,35.7,44.8,55.7,56.9,43.1,53.0,36.8,42.2,35.3,46.4,34.3,27.4,25.4,59.8,30.5,43.5,51.4,39.4,45.1,22.6,51.8,29.6,55.9,54.5,58.2,33.1,45.3
150,WEEK,M,Y45-54,50.8,33.7,53.4,59.1,56.5,35.8,61.0,33.7,37.7,23.7,37.8,34.7,30.2,19.6,61.4,26.1,43.8,54.4,35.6,38.8,28.4,40.2,17.6,57.8,52.8,62.8,38.0,50.0
